Question_Number,Trial_Index,Model,Humor_Rating,Source_Detection
1,6,ChatGPT,3,4
2,6,ChatGPT,3,4
3,6,ChatGPT,4,4
4,6,ChatGPT,3,1
5,6,ChatGPT,3,1
6,6,ChatGPT,3,4
7,6,ChatGPT,3,4
8,6,ChatGPT,4,4
9,6,ChatGPT,4,4
10,6,ChatGPT,3,4
11,6,ChatGPT,4,4
12,6,ChatGPT,4,4
13,6,ChatGPT,3,4
14,6,ChatGPT,4,4
15,6,ChatGPT,3,4
16,6,ChatGPT,4,4
17,6,ChatGPT,4,4
18,6,ChatGPT,3,4
19,6,ChatGPT,4,1
20,6,ChatGPT,4,4
21,6,ChatGPT,3,4
22,6,ChatGPT,3,4
23,6,ChatGPT,3,4
24,6,ChatGPT,3,4
1,7,ChatGPT,3,4
2,7,ChatGPT,4,4
3,7,ChatGPT,3,4
4,7,ChatGPT,3,1
5,7,ChatGPT,2,4
6,7,ChatGPT,4,4
7,7,ChatGPT,3,4
8,7,ChatGPT,4,4
9,7,ChatGPT,3,1
10,7,ChatGPT,4,4
11,7,ChatGPT,4,4
12,7,ChatGPT,3,1
13,7,ChatGPT,4,4
14,7,ChatGPT,3,4
15,7,ChatGPT,3,4
16,7,ChatGPT,4,4
17,7,ChatGPT,3,1
18,7,ChatGPT,3,4
19,7,ChatGPT,4,1
20,7,ChatGPT,4,4
21,7,ChatGPT,3,4
22,7,ChatGPT,4,4
23,7,ChatGPT,3,4
24,7,ChatGPT,3,4
1,8,ChatGPT,3,4
2,8,ChatGPT,4,4
3,8,ChatGPT,4,4
4,8,ChatGPT,3,4
5,8,ChatGPT,3,4
6,8,ChatGPT,4,4
7,8,ChatGPT,3,1
8,8,ChatGPT,4,4
9,8,ChatGPT,4,4
10,8,ChatGPT,4,4
11,8,ChatGPT,4,4
12,8,ChatGPT,3,4
13,8,ChatGPT,3,4
14,8,ChatGPT,4,4
15,8,ChatGPT,3,4
16,8,ChatGPT,3,4
17,8,ChatGPT,4,4
18,8,ChatGPT,3,4
19,8,ChatGPT,4,4
20,8,ChatGPT,4,4
21,8,ChatGPT,3,4
22,8,ChatGPT,4,4
23,8,ChatGPT,3,4
24,8,ChatGPT,3,4
1,9,ChatGPT,3,4
2,9,ChatGPT,4,1
3,9,ChatGPT,4,4
4,9,ChatGPT,3,1
5,9,ChatGPT,4,4
6,9,ChatGPT,4,4
7,9,ChatGPT,3,1
8,9,ChatGPT,4,4
9,9,ChatGPT,4,1
10,9,ChatGPT,4,4
11,9,ChatGPT,4,4
12,9,ChatGPT,4,1
13,9,ChatGPT,3,4
14,9,ChatGPT,4,4
15,9,ChatGPT,3,1
16,9,ChatGPT,4,4
17,9,ChatGPT,4,1
18,9,ChatGPT,3,4
19,9,ChatGPT,4,1
20,9,ChatGPT,4,4
21,9,ChatGPT,3,4
22,9,ChatGPT,3,1
23,9,ChatGPT,3,4
24,9,ChatGPT,3,4
1,10,ChatGPT,3,4
2,10,ChatGPT,4,4
3,10,ChatGPT,4,4
4,10,ChatGPT,3,4
5,10,ChatGPT,3,1
6,10,ChatGPT,4,4
7,10,ChatGPT,3,1
8,10,ChatGPT,4,4
9,10,ChatGPT,4,1
10,10,ChatGPT,3,4
11,10,ChatGPT,4,4
12,10,ChatGPT,3,1
13,10,ChatGPT,3,4
14,10,ChatGPT,4,4
15,10,ChatGPT,3,1
16,10,ChatGPT,4,4
17,10,ChatGPT,4,1
18,10,ChatGPT,3,4
19,10,ChatGPT,4,1
20,10,ChatGPT,4,4
21,10,ChatGPT,3,4
22,10,ChatGPT,4,4
23,10,ChatGPT,3,4
24,10,ChatGPT,3,4
1,11,ChatGPT,3,4
2,11,ChatGPT,4,4
3,11,ChatGPT,4,4
4,11,ChatGPT,3,1
5,11,ChatGPT,3,1
6,11,ChatGPT,4,4
7,11,ChatGPT,3,4
8,11,ChatGPT,4,4
9,11,ChatGPT,4,4
10,11,ChatGPT,4,4
11,11,ChatGPT,5,4
12,11,ChatGPT,4,4
13,11,ChatGPT,4,4
14,11,ChatGPT,3,4
15,11,ChatGPT,3,4
16,11,ChatGPT,4,4
17,11,ChatGPT,4,1
18,11,ChatGPT,4,4
19,11,ChatGPT,3,1
20,11,ChatGPT,4,4
21,11,ChatGPT,3,4
22,11,ChatGPT,3,4
23,11,ChatGPT,3,4
24,11,ChatGPT,3,4
1,12,ChatGPT,3,4
2,12,ChatGPT,4,4
3,12,ChatGPT,4,4
4,12,ChatGPT,3,4
5,12,ChatGPT,3,1
6,12,ChatGPT,4,4
7,12,ChatGPT,3,4
8,12,ChatGPT,3,4
9,12,ChatGPT,4,4
10,12,ChatGPT,4,4
11,12,ChatGPT,4,4
12,12,ChatGPT,3,1
13,12,ChatGPT,4,4
14,12,ChatGPT,4,4
15,12,ChatGPT,3,4
16,12,ChatGPT,4,4
17,12,ChatGPT,4,4
18,12,ChatGPT,3,4
19,12,ChatGPT,4,1
20,12,ChatGPT,4,4
21,12,ChatGPT,3,4
22,12,ChatGPT,4,4
23,12,ChatGPT,4,4
24,12,ChatGPT,3,4
1,13,ChatGPT,3,4
2,13,ChatGPT,3,1
3,13,ChatGPT,4,4
4,13,ChatGPT,4,4
5,13,ChatGPT,3,1
6,13,ChatGPT,4,4
7,13,ChatGPT,3,1
8,13,ChatGPT,4,4
9,13,ChatGPT,4,4
10,13,ChatGPT,3,4
11,13,ChatGPT,4,4
12,13,ChatGPT,3,1
13,13,ChatGPT,3,4
14,13,ChatGPT,3,4
15,13,ChatGPT,3,4
16,13,ChatGPT,4,4
17,13,ChatGPT,4,4
18,13,ChatGPT,3,4
19,13,ChatGPT,3,1
20,13,ChatGPT,4,4
21,13,ChatGPT,3,4
22,13,ChatGPT,4,4
23,13,ChatGPT,3,4
24,13,ChatGPT,3,4
1,14,ChatGPT,3,1
2,14,ChatGPT,4,4
3,14,ChatGPT,4,4
4,14,ChatGPT,3,4
5,14,ChatGPT,4,1
6,14,ChatGPT,4,4
7,14,ChatGPT,3,1
8,14,ChatGPT,4,4
9,14,ChatGPT,3,1
10,14,ChatGPT,4,4
11,14,ChatGPT,4,4
12,14,ChatGPT,4,4
13,14,ChatGPT,3,4
14,14,ChatGPT,4,4
15,14,ChatGPT,3,4
16,14,ChatGPT,3,1
17,14,ChatGPT,4,4
18,14,ChatGPT,3,4
19,14,ChatGPT,4,1
20,14,ChatGPT,4,4
21,14,ChatGPT,3,4
22,14,ChatGPT,4,4
23,14,ChatGPT,3,4
24,14,ChatGPT,3,4
1,15,ChatGPT,4,4
2,15,ChatGPT,4,4
3,15,ChatGPT,3,4
4,15,ChatGPT,3,1
5,15,ChatGPT,2,1
6,15,ChatGPT,4,4
7,15,ChatGPT,4,4
8,15,ChatGPT,4,4
9,15,ChatGPT,4,1
10,15,ChatGPT,4,4
11,15,ChatGPT,4,4
12,15,ChatGPT,3,4
13,15,ChatGPT,3,4
14,15,ChatGPT,3,1
15,15,ChatGPT,4,4
16,15,ChatGPT,4,4
17,15,ChatGPT,4,4
18,15,ChatGPT,3,4
19,15,ChatGPT,4,1
20,15,ChatGPT,4,4
21,15,ChatGPT,3,4
22,15,ChatGPT,3,4
23,15,ChatGPT,3,4
24,15,ChatGPT,3,4
1,16,ChatGPT,3,4
2,16,ChatGPT,3,4
3,16,ChatGPT,4,4
4,16,ChatGPT,3,4
5,16,ChatGPT,2,1
6,16,ChatGPT,4,1
7,16,ChatGPT,3,4
8,16,ChatGPT,3,4
9,16,ChatGPT,4,1
10,16,ChatGPT,4,4
11,16,ChatGPT,4,4
12,16,ChatGPT,3,1
13,16,ChatGPT,3,4
14,16,ChatGPT,4,4
15,16,ChatGPT,3,4
16,16,ChatGPT,4,4
17,16,ChatGPT,4,1
18,16,ChatGPT,3,4
19,16,ChatGPT,4,1
20,16,ChatGPT,4,4
21,16,ChatGPT,3,4
22,16,ChatGPT,3,4
23,16,ChatGPT,3,4
24,16,ChatGPT,3,4
1,17,ChatGPT,4,4
2,17,ChatGPT,4,4
3,17,ChatGPT,3,4
4,17,ChatGPT,4,4
5,17,ChatGPT,3,4
6,17,ChatGPT,5,4
7,17,ChatGPT,3,1
8,17,ChatGPT,4,4
9,17,ChatGPT,4,4
10,17,ChatGPT,4,4
11,17,ChatGPT,4,4
12,17,ChatGPT,4,4
13,17,ChatGPT,4,4
14,17,ChatGPT,4,4
15,17,ChatGPT,3,4
16,17,ChatGPT,5,4
17,17,ChatGPT,4,4
18,17,ChatGPT,4,4
19,17,ChatGPT,4,1
20,17,ChatGPT,4,4
21,17,ChatGPT,3,1
22,17,ChatGPT,4,4
23,17,ChatGPT,3,4
24,17,ChatGPT,3,4
1,18,ChatGPT,3,4
2,18,ChatGPT,3,1
3,18,ChatGPT,4,4
4,18,ChatGPT,4,4
5,18,ChatGPT,3,1
6,18,ChatGPT,4,4
7,18,ChatGPT,3,1
8,18,ChatGPT,4,4
9,18,ChatGPT,4,4
10,18,ChatGPT,3,1
11,18,ChatGPT,4,4
12,18,ChatGPT,4,4
13,18,ChatGPT,3,1
14,18,ChatGPT,4,4
15,18,ChatGPT,3,1
16,18,ChatGPT,4,4
17,18,ChatGPT,4,4
18,18,ChatGPT,3,4
19,18,ChatGPT,4,1
20,18,ChatGPT,4,4
21,18,ChatGPT,3,1
22,18,ChatGPT,4,4
23,18,ChatGPT,3,4
24,18,ChatGPT,3,4
1,19,ChatGPT,3,4
2,19,ChatGPT,3,4
3,19,ChatGPT,4,4
4,19,ChatGPT,3,4
5,19,ChatGPT,2,4
6,19,ChatGPT,4,4
7,19,ChatGPT,3,4
8,19,ChatGPT,4,4
9,19,ChatGPT,3,4
10,19,ChatGPT,3,4
11,19,ChatGPT,4,4
12,19,ChatGPT,3,4
13,19,ChatGPT,4,4
14,19,ChatGPT,4,4
15,19,ChatGPT,3,4
16,19,ChatGPT,4,4
17,19,ChatGPT,4,4
18,19,ChatGPT,3,4
19,19,ChatGPT,3,4
20,19,ChatGPT,4,4
21,19,ChatGPT,3,4
22,19,ChatGPT,3,4
23,19,ChatGPT,4,4
24,19,ChatGPT,4,4
1,20,ChatGPT,3,1
2,20,ChatGPT,4,4
3,20,ChatGPT,4,4
4,20,ChatGPT,3,1
5,20,ChatGPT,4,4
6,20,ChatGPT,4,4
7,20,ChatGPT,3,1
8,20,ChatGPT,4,4
9,20,ChatGPT,4,4
10,20,ChatGPT,4,4
11,20,ChatGPT,4,4
12,20,ChatGPT,4,4
13,20,ChatGPT,3,1
14,20,ChatGPT,4,4
15,20,ChatGPT,3,1
16,20,ChatGPT,4,4
17,20,ChatGPT,4,4
18,20,ChatGPT,3,1
19,20,ChatGPT,4,4
20,20,ChatGPT,4,4
21,20,ChatGPT,3,1
22,20,ChatGPT,4,4
23,20,ChatGPT,3,1
24,20,ChatGPT,3,1
1,21,ChatGPT,3,1
2,21,ChatGPT,3,1
3,21,ChatGPT,4,4
4,21,ChatGPT,4,4
5,21,ChatGPT,3,1
6,21,ChatGPT,4,1
7,21,ChatGPT,2,1
8,21,ChatGPT,4,4
9,21,ChatGPT,4,4
10,21,ChatGPT,3,1
11,21,ChatGPT,3,4
12,21,ChatGPT,4,4
13,21,ChatGPT,2,1
14,21,ChatGPT,4,4
15,21,ChatGPT,2,1
16,21,ChatGPT,4,4
17,21,ChatGPT,4,4
18,21,ChatGPT,2,1
19,21,ChatGPT,4,4
20,21,ChatGPT,4,4
21,21,ChatGPT,2,1
22,21,ChatGPT,3,1
23,21,ChatGPT,3,4
24,21,ChatGPT,3,4
1,22,ChatGPT,3,1
2,22,ChatGPT,4,4
3,22,ChatGPT,4,4
4,22,ChatGPT,3,1
5,22,ChatGPT,3,1
6,22,ChatGPT,4,4
7,22,ChatGPT,3,1
8,22,ChatGPT,4,4
9,22,ChatGPT,4,1
10,22,ChatGPT,4,4
11,22,ChatGPT,4,4
12,22,ChatGPT,3,1
13,22,ChatGPT,4,4
14,22,ChatGPT,4,4
15,22,ChatGPT,3,1
16,22,ChatGPT,4,4
17,22,ChatGPT,4,1
18,22,ChatGPT,3,4
19,22,ChatGPT,4,1
20,22,ChatGPT,4,4
21,22,ChatGPT,3,1
22,22,ChatGPT,4,4
23,22,ChatGPT,3,1
24,22,ChatGPT,4,4
1,23,ChatGPT,3,4
2,23,ChatGPT,4,4
3,23,ChatGPT,3,4
4,23,ChatGPT,3,4
5,23,ChatGPT,2,4
6,23,ChatGPT,4,4
7,23,ChatGPT,2,1
8,23,ChatGPT,3,4
9,23,ChatGPT,4,1
10,23,ChatGPT,4,4
11,23,ChatGPT,4,4
12,23,ChatGPT,3,4
13,23,ChatGPT,3,4
14,23,ChatGPT,3,4
15,23,ChatGPT,4,4
16,23,ChatGPT,3,1
17,23,ChatGPT,4,1
18,23,ChatGPT,3,4
19,23,ChatGPT,4,1
20,23,ChatGPT,3,4
21,23,ChatGPT,3,4
22,23,ChatGPT,4,4
23,23,ChatGPT,3,4
24,23,ChatGPT,2,4
1,24,ChatGPT,3,4
2,24,ChatGPT,3,1
3,24,ChatGPT,4,4
4,24,ChatGPT,3,1
5,24,ChatGPT,4,4
6,24,ChatGPT,5,4
7,24,ChatGPT,3,1
8,24,ChatGPT,4,4
9,24,ChatGPT,4,4
10,24,ChatGPT,3,4
11,24,ChatGPT,4,4
12,24,ChatGPT,3,1
13,24,ChatGPT,4,4
14,24,ChatGPT,4,4
15,24,ChatGPT,3,4
16,24,ChatGPT,4,4
17,24,ChatGPT,4,1
18,24,ChatGPT,3,4
19,24,ChatGPT,5,1
20,24,ChatGPT,4,4
21,24,ChatGPT,3,4
22,24,ChatGPT,4,4
23,24,ChatGPT,4,4
24,24,ChatGPT,3,4
1,25,ChatGPT,3,4
2,25,ChatGPT,4,4
3,25,ChatGPT,4,4
4,25,ChatGPT,4,1
5,25,ChatGPT,3,1
6,25,ChatGPT,4,4
7,25,ChatGPT,3,4
8,25,ChatGPT,4,4
9,25,ChatGPT,4,1
10,25,ChatGPT,4,4
11,25,ChatGPT,4,4
12,25,ChatGPT,3,4
13,25,ChatGPT,4,4
14,25,ChatGPT,3,1
15,25,ChatGPT,3,4
16,25,ChatGPT,4,4
17,25,ChatGPT,4,1
18,25,ChatGPT,3,4
19,25,ChatGPT,4,1
20,25,ChatGPT,4,4
21,25,ChatGPT,3,4
22,25,ChatGPT,4,4
23,25,ChatGPT,3,4
24,25,ChatGPT,3,4
1,26,ChatGPT,3,4
2,26,ChatGPT,4,1
3,26,ChatGPT,4,4
4,26,ChatGPT,3,1
5,26,ChatGPT,3,4
6,26,ChatGPT,4,4
7,26,ChatGPT,2,1
8,26,ChatGPT,4,4
9,26,ChatGPT,3,1
10,26,ChatGPT,4,4
11,26,ChatGPT,4,4
12,26,ChatGPT,3,1
13,26,ChatGPT,3,4
14,26,ChatGPT,3,1
15,26,ChatGPT,3,4
16,26,ChatGPT,3,4
17,26,ChatGPT,4,1
18,26,ChatGPT,3,4
19,26,ChatGPT,4,1
20,26,ChatGPT,4,4
21,26,ChatGPT,3,1
22,26,ChatGPT,4,4
23,26,ChatGPT,3,1
24,26,ChatGPT,3,4
1,27,ChatGPT,3,4
2,27,ChatGPT,4,4
3,27,ChatGPT,5,4
4,27,ChatGPT,4,4
5,27,ChatGPT,3,1
6,27,ChatGPT,5,4
7,27,ChatGPT,3,4
8,27,ChatGPT,4,4
9,27,ChatGPT,4,4
10,27,ChatGPT,4,4
11,27,ChatGPT,4,4
12,27,ChatGPT,4,4
13,27,ChatGPT,4,4
14,27,ChatGPT,4,4
15,27,ChatGPT,4,4
16,27,ChatGPT,4,4
17,27,ChatGPT,4,1
18,27,ChatGPT,3,4
19,27,ChatGPT,4,1
20,27,ChatGPT,4,4
21,27,ChatGPT,3,4
22,27,ChatGPT,4,4
23,27,ChatGPT,4,4
24,27,ChatGPT,3,4
1,28,ChatGPT,3,4
2,28,ChatGPT,4,4
3,28,ChatGPT,4,4
4,28,ChatGPT,3,4
5,28,ChatGPT,3,1
6,28,ChatGPT,4,4
7,28,ChatGPT,3,4
8,28,ChatGPT,4,4
9,28,ChatGPT,4,1
10,28,ChatGPT,3,4
11,28,ChatGPT,4,4
12,28,ChatGPT,4,4
13,28,ChatGPT,3,4
14,28,ChatGPT,4,1
15,28,ChatGPT,3,4
16,28,ChatGPT,3,4
17,28,ChatGPT,4,1
18,28,ChatGPT,3,4
19,28,ChatGPT,5,1
20,28,ChatGPT,4,4
21,28,ChatGPT,3,4
22,28,ChatGPT,4,4
23,28,ChatGPT,3,4
24,28,ChatGPT,3,4
1,29,ChatGPT,3,4
2,29,ChatGPT,3,4
3,29,ChatGPT,4,4
4,29,ChatGPT,3,4
5,29,ChatGPT,2,1
6,29,ChatGPT,4,4
7,29,ChatGPT,3,4
8,29,ChatGPT,4,4
9,29,ChatGPT,3,1
10,29,ChatGPT,3,4
11,29,ChatGPT,4,4
12,29,ChatGPT,3,1
13,29,ChatGPT,3,4
14,29,ChatGPT,4,4
15,29,ChatGPT,3,4
16,29,ChatGPT,4,4
17,29,ChatGPT,3,1
18,29,ChatGPT,3,4
19,29,ChatGPT,4,1
20,29,ChatGPT,4,4
21,29,ChatGPT,3,4
22,29,ChatGPT,3,4
23,29,ChatGPT,3,4
24,29,ChatGPT,3,4
1,30,ChatGPT,3,1
2,30,ChatGPT,3,1
3,30,ChatGPT,4,4
4,30,ChatGPT,3,4
5,30,ChatGPT,4,4
6,30,ChatGPT,4,4
7,30,ChatGPT,3,1
8,30,ChatGPT,4,4
9,30,ChatGPT,4,4
10,30,ChatGPT,4,4
11,30,ChatGPT,4,4
12,30,ChatGPT,3,1
13,30,ChatGPT,3,4
14,30,ChatGPT,4,4
15,30,ChatGPT,3,1
16,30,ChatGPT,4,4
17,30,ChatGPT,4,4
18,30,ChatGPT,3,1
19,30,ChatGPT,4,4
20,30,ChatGPT,4,4
21,30,ChatGPT,3,1
22,30,ChatGPT,4,4
23,30,ChatGPT,3,1
24,30,ChatGPT,3,4
