Question_Number,Trial_Index,Model,Humor_Rating,Source_Detection
18,20,Gemini,3,4
19,20,Gemini,5,4
20,20,Gemini,4,4
21,20,Gemini,3,1
22,20,Gemini,4,4
23,20,Gemini,4,4
24,20,Gemini,2,1
1,21,Gemini,3,4
2,21,Gemini,3,4
3,21,Gemini,4,4
4,21,Gemini,4,4
5,21,Gemini,4,4
6,21,Gemini,4,4
7,21,Gemini,3,4
8,21,Gemini,5,4
9,21,Gemini,4,4
10,21,Gemini,3,4
11,21,Gemini,3,4
12,21,Gemini,4,4
13,21,Gemini,3,4
14,21,Gemini,4,4
15,21,Gemini,4,4
16,21,Gemini,5,4
17,21,Gemini,5,4
18,21,Gemini,3,4
19,21,Gemini,5,4
20,21,Gemini,4,4
21,21,Gemini,3,4
22,21,Gemini,5,4
23,21,Gemini,4,4
24,21,Gemini,3,4
1,22,Gemini,3,4
2,22,Gemini,3,4
3,22,Gemini,4,4
4,22,Gemini,3,4
5,22,Gemini,4,4
6,22,Gemini,4,4
7,22,Gemini,2,1
8,22,Gemini,4,4
9,22,Gemini,4,4
10,22,Gemini,3,1
11,22,Gemini,3,1
12,22,Gemini,4,4
13,22,Gemini,3,1
14,22,Gemini,4,4
15,22,Gemini,3,4
16,22,Gemini,4,4
17,22,Gemini,4,4
18,22,Gemini,3,1
19,22,Gemini,5,4
20,22,Gemini,4,4
21,22,Gemini,3,1
22,22,Gemini,4,4
23,22,Gemini,4,4
24,22,Gemini,3,4
1,23,Gemini,3,1
2,23,Gemini,3,1
3,23,Gemini,4,4
4,23,Gemini,4,4
5,23,Gemini,4,4
6,23,Gemini,3,4
7,23,Gemini,3,1
8,23,Gemini,4,4
9,23,Gemini,4,4
10,23,Gemini,3,1
11,23,Gemini,4,4
12,23,Gemini,4,4
13,23,Gemini,3,4
14,23,Gemini,5,4
15,23,Gemini,4,4
16,23,Gemini,4,4
17,23,Gemini,5,4
18,23,Gemini,3,1
19,23,Gemini,5,4
20,23,Gemini,4,4
21,23,Gemini,3,1
22,23,Gemini,4,4
23,23,Gemini,4,4
24,23,Gemini,2,4
1,24,Gemini,3,4
2,24,Gemini,3,4
3,24,Gemini,4,4
4,24,Gemini,4,4
5,24,Gemini,4,4
6,24,Gemini,3,4
7,24,Gemini,2,1
8,24,Gemini,4,4
9,24,Gemini,4,4
10,24,Gemini,3,4
11,24,Gemini,3,4
12,24,Gemini,4,4
13,24,Gemini,3,4
14,24,Gemini,4,4
15,24,Gemini,3,4
16,24,Gemini,4,4
17,24,Gemini,4,4
18,24,Gemini,3,1
19,24,Gemini,5,4
20,24,Gemini,4,4
21,24,Gemini,3,1
22,24,Gemini,4,4
23,24,Gemini,4,4
24,24,Gemini,3,4
1,25,Gemini,3,1
2,25,Gemini,3,1
3,25,Gemini,4,4
4,25,Gemini,4,4
5,25,Gemini,4,4
6,25,Gemini,4,4
7,25,Gemini,2,1
8,25,Gemini,4,4
9,25,Gemini,5,4
10,25,Gemini,3,1
11,25,Gemini,3,1
12,25,Gemini,4,4
13,25,Gemini,3,1
14,25,Gemini,5,4
15,25,Gemini,3,1
16,25,Gemini,5,4
17,25,Gemini,5,4
18,25,Gemini,3,1
19,25,Gemini,5,4
20,25,Gemini,4,1
21,25,Gemini,2,1
22,25,Gemini,5,4
23,25,Gemini,4,4
24,25,Gemini,2,1
1,26,Gemini,3,4
2,26,Gemini,3,4
3,26,Gemini,4,4
4,26,Gemini,4,4
5,26,Gemini,3,4
6,26,Gemini,3,4
7,26,Gemini,2,4
8,26,Gemini,4,4
9,26,Gemini,4,4
10,26,Gemini,3,4
11,26,Gemini,3,4
12,26,Gemini,4,4
13,26,Gemini,3,4
14,26,Gemini,4,4
15,26,Gemini,3,4
16,26,Gemini,4,4
17,26,Gemini,5,4
18,26,Gemini,3,4
19,26,Gemini,5,4
20,26,Gemini,4,4
21,26,Gemini,2,4
22,26,Gemini,4,4
23,26,Gemini,4,4
24,26,Gemini,3,4
1,27,Gemini,3,4
2,27,Gemini,3,4
3,27,Gemini,4,4
4,27,Gemini,4,4
5,27,Gemini,4,4
6,27,Gemini,4,4
7,27,Gemini,2,4
8,27,Gemini,4,4
9,27,Gemini,5,4
10,27,Gemini,3,4
11,27,Gemini,4,4
12,27,Gemini,4,4
13,27,Gemini,3,4
14,27,Gemini,5,4
15,27,Gemini,3,4
16,27,Gemini,4,4
17,27,Gemini,5,4
18,27,Gemini,3,4
19,27,Gemini,5,4
20,27,Gemini,4,4
21,27,Gemini,3,4
22,27,Gemini,4,4
23,27,Gemini,4,4
24,27,Gemini,3,4
1,28,Gemini,3,4
2,28,Gemini,3,4
3,28,Gemini,4,4
4,28,Gemini,4,4
5,28,Gemini,4,4
6,28,Gemini,3,4
7,28,Gemini,2,1
8,28,Gemini,4,4
9,28,Gemini,4,4
10,28,Gemini,3,4
11,28,Gemini,3,4
12,28,Gemini,4,4
13,28,Gemini,3,4
14,28,Gemini,4,4
15,28,Gemini,3,4
16,28,Gemini,4,4
17,28,Gemini,5,4
18,28,Gemini,3,4
19,28,Gemini,5,4
20,28,Gemini,4,4
21,28,Gemini,3,1
22,28,Gemini,4,4
23,28,Gemini,4,4
24,28,Gemini,3,4
1,29,Gemini,3,4
2,29,Gemini,3,4
3,29,Gemini,4,4
4,29,Gemini,4,4
5,29,Gemini,4,4
6,29,Gemini,3,1
7,29,Gemini,2,1
8,29,Gemini,4,4
9,29,Gemini,4,4
10,29,Gemini,3,4
11,29,Gemini,3,3
12,29,Gemini,4,4
13,29,Gemini,3,4
14,29,Gemini,4,4
15,29,Gemini,3,4
16,29,Gemini,4,4
17,29,Gemini,5,4
18,29,Gemini,3,4
19,29,Gemini,5,4
20,29,Gemini,4,4
21,29,Gemini,3,4
22,29,Gemini,4,4
23,29,Gemini,4,4
24,29,Gemini,3,4
1,30,Gemini,3,4
2,30,Gemini,3,4
3,30,Gemini,4,4
4,30,Gemini,4,4
5,30,Gemini,5,4
6,30,Gemini,4,4
7,30,Gemini,3,1
8,30,Gemini,5,4
9,30,Gemini,5,4
10,30,Gemini,3,4
11,30,Gemini,4,4
12,30,Gemini,4,4
13,30,Gemini,4,4
14,30,Gemini,5,4
15,30,Gemini,3,4
16,30,Gemini,5,4
17,30,Gemini,5,4
18,30,Gemini,3,4
19,30,Gemini,5,4
20,30,Gemini,4,4
21,30,Gemini,3,1
22,30,Gemini,4,4
23,30,Gemini,5,4
24,30,Gemini,3,4
